Key,Day,Enabled,Description,EventPhase,DayIndex,ShiftIndex,OpenHH,OpenMM,CloseHH,CloseMM
SYZZ,0,true,,,0,0,0,0,24,0
00A1,0,true,,,0,0,0,0,24,0
GWZP,0,true,,,0,0,0,0,24,0
AVYX,0,true,,,0,0,0,0,24,0
TAXW,0,true,,,0,0,0,0,24,0
UULX,0,true,,,0,0,0,0,24,0
TRZP,0,true,,,0,0,0,0,24,0
CKMQ,0,true,,,0,0,0,0,24,0
KZTZ,0,true,,,0,0,0,0,24,0
BBNV,0,true,,,0,0,0,0,24,0
ZSJC,0,true,,,0,0,0,0,24,0
RQNK,0,true,,,0,0,0,0,24,0
BBNQ,0,true,,,0,0,0,0,24,0
WPKZ,0,true,,,0,0,0,0,24,0
EKWU,0,true,,,0,0,0,0,24,0
HNTS,0,true,,,0,0,0,0,24,0
HMBA,0,true,,,0,0,0,0,24,0
LLTY,0,true,,,0,0,0,0,24,0
QTUR,0,true,,,0,0,0,0,24,0
AJBR,0,true,,,0,0,0,0,24,0
SVCN,0,true,,,0,0,0,0,24,0
SYZB,0,true,,,0,0,0,0,24,0
LYNK,0,true,,,0,0,0,0,24,0
SERJ,0,true,,,0,0,0,0,24,0
SYZJ,0,true,,,0,0,0,0,24,0
UULB,0,true,,,0,0,0,0,24,0
UULA,0,true,,,0,0,0,0,24,0
SERU,0,true,,,0,0,0,0,24,0
SERS,0,true,,,0,0,0,0,24,0
AAPV,0,true,,,0,0,0,0,24,0
TZYR,0,true,,,0,0,0,0,24,0
PDZE,0,true,,,0,0,0,0,24,0
SYZP,0,true,,,0,0,0,0,24,0
GCRR,0,true,,,0,0,0,0,24,0
SYZN,0,true,,,0,0,0,0,24,0
TWEH,0,true,,,0,0,0,0,24,0
UTLS,0,true,,,0,0,0,0,24,0
WYPX,0,true,,,0,0,0,0,24,0
YLQH,0,true,,,0,0,0,0,24,0
MLDL,0,true,,,0,0,0,0,24,0
VPRF,0,true,,,0,0,0,0,24,0
UTLN,0,true,,,0,0,0,0,24,0
TZL4,0,true,,,0,0,0,0,24,0
PQEM,0,true,,,0,0,0,0,24,0
