Geoloc,SeaportGeolocCode,MaxQueue,MaxDraft,JLOTS,Active,Constrained,Ocean,Bunkering,MaxMilitaryShips,BreakbulkOnloadRate,BreakbulkOffloadRate,ContainerOnloadRate,ContainerOffloadRate,RoroOnloadRate,RoroOffloadRate,EquipmentStorage,CostPerMTon,CostPerTEU,CostPerVoyage,AccessorialsMton,AccessorialsTeu,WriMton,WriTeu,Label
SYZZ,SYZZ,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,32,201,50000,0,0,0,0,""
00A1,00A1,30,999,false,true,false,true,false,6,4000,6000,2300,2600,1200,1800,1742400,24,210,50000,0,0,0,0,""
GWZP,GWZP,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,32,243,50000,0,0,0,0,""
AVYX,AVYX,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,30,272,50000,0,0,0,0,""
TAXW,TAXW,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
UULX,UULX,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,40,233,50000,0,0,0,0,""
TRZP,TRZP,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,24,250,50000,0,0,0,0,""
CKMQ,CKMQ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
KZTZ,KZTZ,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,40,272,50000,0,0,0,0,""
BBNV,BBNV,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,23,243,50000,0,0,0,0,""
ZSJC,ZSJC,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,28,279,50000,0,0,0,0,""
RQNK,RQNK,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,22,240,50000,0,0,0,0,""
BBNQ,BBNV,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,36,251,50000,0,0,0,0,""
WPKZ,WPKZ,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
EKWU,EKWU,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
HNTS,HNTS,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,27,260,50000,0,0,0,0,""
HMBA,HMBA,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
LLTY,LLTY,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
QTUR,QTUR,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
AJBR,AJBR,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
SVCN,SVCN,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,33,291,50000,0,0,0,0,""
SYZB,SYZB,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
LYNK,LYNK,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
SERJ,SERJ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
SYZJ,SYZJ,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
UULB,UULB,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,23,223,50000,0,0,0,0,""
UULA,UULA,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,23,209,50000,0,0,0,0,""
SERU,SERU,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,38,250,50000,0,0,0,0,""
SERS,SERS,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
AAPV,AAPV,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,32,262,50000,0,0,0,0,""
TZYR,TZYR,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,26,230,50000,0,0,0,0,""
PDZE,PDZE,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
SYZP,SYZP,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
GCRR,GCRR,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
