Name,Day,Enabled,Description,EventPhase,Type,UnitEquipment,Resupply,Ammo,Special
T-AVB,0,true,,,WHEELED,0.45,0.45,0,0
T-AVB,0,true,,,TRACKED,0.45,0.45,0,0
T-AVB,0,true,,,CONTAINER,0.8,0.8,0.6,0
T-AVB,0,true,,,NONCONTAINER,0.8,0.8,0.8,0
T-AVB,0,true,,,NSDA,0,0,0,0
T-AH,0,true,,,WHEELED,0,0,0,0
T-AH,0,true,,,TRACKED,0,0,0,0
T-AH,0,true,,,CONTAINER,0,0,0,0
T-AH,0,true,,,NONCONTAINER,0,0,0,0
T-AH,0,true,,,NSDA,0,0,0,0
PAX,0,true,,,WHEELED,0,0,0,0
PAX,0,true,,,TRACKED,0,0,0,0
PAX,0,true,,,CONTAINER,0,0,0,0
PAX,0,true,,,NONCONTAINER,0,0,0,0
PAX,0,true,,,NSDA,0,0,0,0
FSS,0,true,,,WHEELED,0,0,0,0
FSS,0,true,,,TRACKED,0,0,0,0
FSS,0,true,,,CONTAINER,0,0,0,0
FSS,0,true,,,NONCONTAINER,0,0,0,0
FSS,0,true,,,NSDA,0,0,0,0
RO/RO,0,true,,,WHEELED,0,0,0,0
RO/RO,0,true,,,TRACKED,0,0,0,0
RO/RO,0,true,,,CONTAINER,0,0,0,0
RO/RO,0,true,,,NONCONTAINER,0,0,0,0
RO/RO,0,true,,,NSDA,0,0,0,0
CAR TRANS,0,true,,,WHEELED,0,0,0,0
CAR TRANS,0,true,,,TRACKED,0,0,0,0
CAR TRANS,0,true,,,CONTAINER,0,0,0,0
CAR TRANS,0,true,,,NONCONTAINER,0,0,0,0
CAR TRANS,0,true,,,NSDA,0,0,0,0
POL TANKER,0,true,,,WHEELED,0,0,0,0
POL TANKER,0,true,,,TRACKED,0,0,0,0
POL TANKER,0,true,,,CONTAINER,0,0,0,0
POL TANKER,0,true,,,NONCONTAINER,0,0,0,0
POL TANKER,0,true,,,NSDA,0,0,0,0
T-ACS,0,true,,,WHEELED,0.45,0.45,0,0
T-ACS,0,true,,,TRACKED,0.45,0.45,0,0
T-ACS,0,true,,,CONTAINER,0.8,0.8,0.6,0
T-ACS,0,true,,,NONCONTAINER,0.8,0.8,0.8,0
T-ACS,0,true,,,NSDA,0,0,0,0
BREAKBULK,0,true,,,WHEELED,0.45,0.45,0,0
BREAKBULK,0,true,,,TRACKED,0.45,0.45,0,0
BREAKBULK,0,true,,,CONTAINER,0.8,0.8,0.6,0
BREAKBULK,0,true,,,NONCONTAINER,0.8,0.8,0.8,0
BREAKBULK,0,true,,,NSDA,0,0,0,0
BARGE(LASH),0,true,,,WHEELED,0.45,0.45,0,0
BARGE(LASH),0,true,,,TRACKED,0.45,0.45,0,0
BARGE(LASH),0,true,,,CONTAINER,0.8,0.8,0.6,0
BARGE(LASH),0,true,,,NONCONTAINER,0.8,0.8,0.8,0
BARGE(LASH),0,true,,,NSDA,0,0,0,0
RO/RO(T-AKR),0,true,,,WHEELED,0,0,0,0
RO/RO(T-AKR),0,true,,,TRACKED,0,0,0,0
RO/RO(T-AKR),0,true,,,CONTAINER,0,0,0,0
RO/RO(T-AKR),0,true,,,NONCONTAINER,0,0,0,0
RO/RO(T-AKR),0,true,,,NSDA,0,0,0,0
VISA CONT,0,true,,,WHEELED,0,0,0,0
VISA CONT,0,true,,,TRACKED,0,0,0,0
VISA CONT,0,true,,,CONTAINER,0,0,0,0
VISA CONT,0,true,,,NONCONTAINER,0,0,0,0
VISA CONT,0,true,,,NSDA,0,0,0,0
BULK CARRIER,0,true,,,WHEELED,0.45,0.45,0,0
BULK CARRIER,0,true,,,TRACKED,0.45,0.45,0,0
BULK CARRIER,0,true,,,CONTAINER,0.8,0.8,0.6,0
BULK CARRIER,0,true,,,NONCONTAINER,0.8,0.8,0.8,0
BULK CARRIER,0,true,,,NSDA,0,0,0,0
BARGE(T-AKB),0,true,,,WHEELED,0.45,0.45,0,0
BARGE(T-AKB),0,true,,,TRACKED,0.45,0.45,0,0
BARGE(T-AKB),0,true,,,CONTAINER,0.8,0.8,0.6,0
BARGE(T-AKB),0,true,,,NONCONTAINER,0.8,0.8,0.8,0
BARGE(T-AKB),0,true,,,NSDA,0,0,0,0
CONT-NSS,0,true,,,WHEELED,0,0,0,0
CONT-NSS,0,true,,,TRACKED,0,0,0,0
CONT-NSS,0,true,,,CONTAINER,0,0,0,0
CONT-NSS,0,true,,,NONCONTAINER,0,0,0,0
CONT-NSS,0,true,,,NSDA,0,0,0,0
CONT-SS,0,true,,,WHEELED,0,0,0,0
CONT-SS,0,true,,,TRACKED,0,0,0,0
CONT-SS,0,true,,,CONTAINER,0,0,0,0
CONT-SS,0,true,,,NONCONTAINER,0,0,0,0
CONT-SS,0,true,,,NSDA,0,0,0,0
COMBO,0,true,,,WHEELED,0.45,0.45,0,0
COMBO,0,true,,,TRACKED,0.45,0.45,0,0
COMBO,0,true,,,CONTAINER,0.8,0.8,0.6,0
COMBO,0,true,,,NONCONTAINER,0.8,0.8,0.8,0
COMBO,0,true,,,NSDA,0,0,0,0
CLF,0,true,,,WHEELED,0.45,0.45,0,0
CLF,0,true,,,TRACKED,0.45,0.45,0,0
CLF,0,true,,,CONTAINER,0.8,0.8,0.6,0
CLF,0,true,,,NONCONTAINER,0.8,0.8,0.8,0
CLF,0,true,,,NSDA,0,0,0,0
