Lloyds,Config,Type,Capacity,History
7704930,1,SQFT,218061,""
7704930,1,TEU,250,""
9139725,1,TEU,4900,""
7717171,1,SQFT,33000,""
7717171,1,TEU,850,""
7909413,1,TEU,3016,""
7224904,1,TEU,1150,""
9106182,1,TEU,4000,""
8408882,1,NCNTMT,13900,""
8408882,1,TEU,48,""
8314158,1,CBBLS,2350,""
9035993,1,TEU,4469,""
7707683,1,NCNTMT,18726,""
8602775,1,SQFT,155891,""
7125316,1,TEU,2015,""
8419154,1,TEU,1582,""
9110389,1,TEU,4800,""
6820579,1,TEU,1382,""
8212697,1,TEU,3606,""
7050248,1,SQFT,28122,""
7050248,1,TEU,427,""
7050248,1,CBBLS,7981,""
8417479,1,TEU,3016,""
7390117,1,SQFT,139581,""
7390117,1,CBBLS,5038,""
9143001,1,TEU,4065,""
6913259,1,TEU,1400,""
9106194,1,TEU,4000,""
7390131,1,SQFT,139581,""
7390131,1,CBBLS,5038,""
7909425,1,TEU,2536,""
8408870,1,NCNTMT,13900,""
8408870,1,TEU,48,""
8616922,1,TEU,3600,""
9139713,1,TEU,4900,""
9137349,1,NCNTMT,2914,""
7226689,1,SQFT,34460,""
7226689,1,TEU,315,""
8218720,1,NCNTMT,20797,""
8415857,1,TEU,4297,""
7226897,1,SQFT,208792,""
7226897,1,TEU,46,""
7907984,1,TEU,2824,""
7420493,1,SQFT,174000,""
9116890,1,TEU,4062,""
7216854,1,SQFT,77169,""
8415952,1,TEU,3026,""
9039016,1,SQFT,150000,""
9110391,1,TEU,4800,""
6708379,1,TEU,1258,""
8419142,1,TEU,1582,""
5555007,1,TEU,4024,""
7617890,1,TEU,1863,""
7617890,1,CBBLS,3113,""
9074547,1,TEU,3900,""
7390129,1,SQFT,139581,""
7390129,1,TEU,54,""
7390129,1,CBBLS,5038,""
9105928,1,TEU,2078,""
8616934,1,TEU,3600,""
7390698,1,NCNTMT,36815,""
7390698,1,TEU,288,""
9105926,1,TEU,2200,""
9105927,1,TEU,2959,""
7702035,1,SQFT,140475,""
7702035,1,TEU,379,""
7909968,1,SQFT,104301,""
8301333,1,TEU,540,""
8709169,1,TEU,2100,""
8609981,1,NCNTMT,7400,""
7908005,1,TEU,2824,""
9002037,1,TEU,2229,""
8319756,1,TEU,540,""
9118836,1,TEU,5408,""
8607749,1,SQFT,102000,""
8212673,1,TEU,3606,""
9105932,1,TEU,4300,""
5056274,1,SQFT,13568,""
5056274,1,NCNTMT,19540,""
5056274,1,CBBLS,4736,""
9143025,1,TEU,4062,""
9074535,1,TEU,3900,""
9123154,1,TEU,3398,""
8211291,1,SQFT,136614,""
8300200,1,SQFT,108009,""
1000102,1,SQFT,127000,""
1000102,1,TEU,767,""
8408894,1,NCNTMT,13900,""
8408894,1,TEU,48,""
8613188,1,SQFT,102000,""
1000103,1,SQFT,127000,""
1000103,1,TEU,767,""
6916861,1,TEU,1028,""
8450677,1,SQFT,117966,""
1000101,1,SQFT,127000,""
1000101,1,TEU,767,""
8702915,1,TEU,3613,""
7208443,1,SQFT,166730,""
7208443,1,CBBLS,7969,""
7506015,1,SQFT,167122,""
8511304,1,TEU,2100,""
9123166,1,TEU,3396,""
9115729,1,TEU,3681,""
6821614,1,SQFT,18781,""
6821614,1,NCNTMT,27583,""
6821614,1,CBBLS,17340,""
7702023,1,SQFT,140475,""
7702023,1,TEU,379,""
9143013,1,TEU,4062,""
8212685,1,TEU,3606,""
7234430,1,SQFT,302087,""
9110377,1,TEU,4800,""
7205958,1,SQFT,38122,""
7205958,1,NCNTMT,23027,""
7390105,1,SQFT,139581,""
7390105,1,TEU,54,""
7390105,1,CBBLS,5038,""
5057931,1,SQFT,13568,""
5057931,1,NCNTMT,19540,""
5057931,1,CBBLS,4736,""
7820899,1,TEU,2306,""
9101596,1,TEU,5384,""
7390703,1,NCNTMT,36815,""
7390703,1,TEU,288,""
8026048,1,SQFT,80000,""
8450665,1,SQFT,84871,""
8512970,1,NCNTMT,44144,""
7702059,1,SQFT,140475,""
7702059,1,TEU,379,""
7236153,1,SQFT,209681,""
7236153,1,TEU,44,""
8217609,1,NCNTMT,8400,""
8707355,1,TEU,2832,""
7116315,1,TEU,1848,""
7820849,1,TEU,2306,""
7814838,1,TEU,2314,""
7820916,1,TEU,2306,""
8212702,1,TEU,3606,""
7034335,1,SQFT,28122,""
7034335,1,TEU,427,""
7034335,1,CBBLS,7981,""
8511316,1,TEU,2100,""
