Lloyds,Name,NISC,Type,Fleet,Active,Preloaded,Speed,Length,Beam,Deadweight,DesigCargo,AvailableDay,DeleteDay,Latitude,Longitude,DestLat,DestLong,MaxVoyages,ActivationTime,LoadTime,PrepTime,MinDraft,MaxDraft,FuelCapacity,FuelConsumption,FuelCommodity,Visa,Cranes,WorkingCranes,ApronWidth,RoroOnloadRate,RoroOffloadRate,ContainerOnloadRate,ContainerOffloadRate,BreakbulkOnloadRate,BreakbulkOffloadRate,ShipCostMethodName,ActivationVoyageCost,PerDiem,DailyFuelCost,CostPerUnit,CanalCost,Accessorial,Baf,Caf,SeaportCostMethodName,MaxNetExpPounds
7704930,CAPE HUDSON,53113,RO/RO,RRF,true,false,19,750,106,26764,0,0,0,37.8,-122.316696,36,-76,9999,4,2,0,18,36,4587,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,410420,30857,67082,0,900000,0,0,0,Voyage,20000000
9139725,NOL CYPRINE,X12400,VISA CONT,FF-LINER,true,false,22,950,130,52211,0,43,0,0,0,0,0,9999,0,1,0,23,46,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2517,1300000,0,0,1,Unit,20000000
7717171,MAERSK CONSTELLATION,55474,COMBO,MSC,true,false,18,598,90,24544,0,0,0,13,144,13,144,9999,0,3,0,19,39,2665,0,,"",0,3,0,500,500,100,100,3000,3000,Time Charter,110000,20000,75000,0,900000,0,0,0,Voyage,20000000
7909413,MAERSK TOBA,X12391,VISA CONT,FF-LINER,true,false,24,830,106,32137,0,35,0,0,0,0,0,9999,0,1,0,19,38,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2393,1300000,0,0,1,Unit,20000000
7224904,PRESIDENT JEFFERSON,X12402,CONT-NSS,VISA,true,false,22,670,90,20718,0,0,0,0,0,0,0,9999,0,1,0,19,37,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2532,1300000,0,0,1,Unit,20000000
9106182,SEA-LAND COMET,N65061,VISA CONT,EUSC,true,false,24,895,106,59840,0,63,0,0,0,0,0,9999,0,1,0,19,38,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2476,1300000,0,0,1,Unit,20000000
8408882,TROPICAL SKY,M03100,BREAKBULK,EUSC,true,false,20,490,71,11998,0,0,0,0,0,0,0,9999,0,3,0,16,32,0,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
8314158,LAWRENCE GIANELLA,M2,POL TANKER,MSC,true,false,16,614,90,32572,0,0,0,40,-75,0,0,9999,5,1,0,26,37,0,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
9035993,HYUNDAI DUKE,X12366,VISA CONT,FF-LINER,true,false,22,1000,100,47619,0,8,0,0,0,0,0,9999,0,1,0,23,45,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2665,1300000,0,0,1,Unit,20000000
7707683,GREEN WAVE,54850,BREAKBULK,MSC,true,false,17,505,70,10832,0,0,0,26.2,127.0667,13,130,9999,0,3,0,14,27,1219,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
8602775,FIDELIO,M03816,CAR TRANS,VISA,true,false,18,623,106,28050,0,45,0,40.4,-61.6,0,0,9999,0,2,0,14,29,0,0,,"",0,3,0,500,500,100,100,3000,3000,Time Charter,110000,20000,75000,0,900000,0,0,0,Voyage,20000000
7125316,EWA,M35880,CONT-NSS,VISA,true,false,22,819,100,38656,0,10,0,0,0,0,0,9999,0,1,0,17,35,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2335,1300000,0,0,1,Unit,20000000
8419154,SEA-LAND TACOMA,05275,CONT-NSS,VISA,true,false,20,710,78,21008,0,0,0,60.6667,-151.4167,52,-132,5,0,1,0,15,30,2478,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2303,1300000,0,0,1,Unit,20000000
9110389,HYUNDAI LIBERTY,X12379,VISA CONT,FF-LINER,true,false,23,950,130,51146,0,28,0,0,0,0,0,9999,0,1,0,23,46,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2457,1300000,0,0,1,Unit,20000000
6820579,SEA-LAND DISCOVERY,M29197,CONT-NSS,VISA,true,false,22,700,90,22013,0,0,0,33.7333,-118.1833,0,0,9999,0,1,0,16,32,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2488,1300000,0,0,1,Unit,20000000
8212697,SEA-LAND QUALITY,64248,VISA CONT,VISA,true,false,18,950,106,32140,0,34,0,39.1,-59.1,50,-3,9999,0,1,0,19,38,7321,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2455,1300000,0,0,1,Unit,20000000
7050248,CAPE FEAR (AUSTRAL LIGHTNING,33552,BARGE(T-AKB),RRF,true,false,20,820,100,25500,0,0,0,37.8,-122.316696,37,-122,9999,10,7,0,18,35,5500,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,568853,35495,135391,0,900000,0,0,0,Voyage,20000000
8417479,LINDO MAERSK,X12387,VISA CONT,FF-LINER,true,false,22,830,106,32137,0,21,0,0,0,0,0,9999,0,1,0,19,38,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2697,1300000,0,0,1,Unit,20000000
7390117,CAPE INTREPID (JUPITER),46062,RO/RO,RRF,true,false,20,685,102,12660,0,0,0,47.2667,-122.4333,47,-122,9999,4,2,0,16,32,3574,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,288561,33192,79994,0,900000,0,0,0,Voyage,20000000
9143001,SEA-LAND CHARGER,N71611,VISA CONT,EUSC,true,false,24,958,106,59961,0,56,0,0,0,0,0,9999,0,1,0,18,36,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2377,1300000,0,0,1,Unit,20000000
6913259,MANUKAI REPLACE,31227,CONT-NSS,AMMO,true,false,23,721,95,22363,0,45,0,37,-122,37,-122,9999,0,1,0,17,34,7013,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2596,1300000,0,0,1,Unit,20000000
9106194,SEA-LAND MERCURY,N65062,VISA CONT,EUSC,true,false,24,958,106,59840,0,91,0,0,0,0,0,9999,0,1,0,19,38,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2304,1300000,0,0,1,Unit,20000000
7390131,CAPE ISLAND (MERCURY),46064,RO/RO,RRF,false,true,20,685,102,12660,12,0,0,30,-95.2833,31,148,1,4,2,0,16,32,3575,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
7909425,MAERSK TACOMA,X12390,VISA CONT,FF-LINER,true,false,20,800,101,27022,0,28,0,0,0,0,0,9999,0,1,0,18,35,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2424,1300000,0,0,1,Unit,20000000
8408870,TROPICAL MORN,M01363,BREAKBULK,EUSC,true,false,20,490,71,11998,0,0,0,0,0,0,0,9999,0,3,0,16,32,0,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
8616922,PRESIDENT POLK,05942,CONT-NSS,VISA,true,false,24,902,130,40730,0,0,0,27.5,126.4,53,9,9999,0,1,0,20,41,5591,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2446,1300000,0,0,1,Unit,20000000
9139713,NOL AGATE,X12397,VISA CONT,FF-LINER,true,false,22,950,130,52211,0,36,0,0,0,0,0,9999,0,1,0,23,46,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2689,1300000,0,0,1,Unit,20000000
9137349,MARGARET B CHOUEST,M12842,BREAKBULK,MSC,true,false,12,320,60,6240,0,0,0,-7.3,72.4,0,0,9999,0,3,0,11,23,0,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
7226689,GOPHER STATE (TACS 4) (RRF),37315,T-ACS,PREPO,false,true,18,610,78,9090,28,0,0,13.45,144.6167,36,-76,1,0,3,0,16,32,3577,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
8218720,SEVASTAKI,M62387,BREAKBULK,EUSC,true,false,13,479,76,13277,0,0,0,0,0,0,0,9999,0,3,0,22,44,0,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
8415857,MAJEXTIC MAERSK,F0005,VISA CONT,FF-LINER,true,false,24,965,106,26639,0,42,0,0,0,0,0,9999,0,1,0,22,44,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2282,1300000,0,0,1,Unit,20000000
7226897,ANTARES (T-AKR 294),36982,FSS,FLOW,true,false,27,946,106,19975,0,0,0,39.2667,-76.5833,39.2667,-76.5833,9999,4,2,0,18,37,5701,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,481430,31496,305738,0,900000,0,0,0,Voyage,20000000
7907984,MANOA,M59887,VISA CONT,VISA,true,false,22,859,106,30825,0,45,0,0,0,0,0,9999,0,1,0,17,35,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2202,1300000,0,0,1,Unit,20000000
7420493,GREAT LAND,42438,RO/RO,VISA,true,false,21,791,92,13528,0,45,0,53.7,-135.6,52,-131,9999,0,2,0,15,30,3207,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,150,1300000,0,0,1,Voyage,20000000
9116890,SEA-LAND RACER,N67294,VISA CONT,EUSC,true,false,24,958,106,59964,0,0,0,0,0,0,0,9999,0,1,0,21,43,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2232,1300000,0,0,1,Unit,20000000
7216854,CAPE LOBOS,36817,RO/RO,RRF,true,false,17,682,75,16950,0,0,0,36.945892,-76.42483,36,-76,9999,10,2,0,16,31,1424,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,288561,33192,79994,0,900000,0,0,0,Voyage,20000000
8415952,LYKES LIBERATOR,M04507,VISA CONT,VISA,true,false,21,849,106,33000,0,45,0,4.8,-59.1,0,0,9999,0,1,0,17,34,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2449,1300000,0,0,1,Unit,20000000
9039016,TROPIC SUN,N56627,RO/RO,EUSC,true,false,15,398,73,7450,0,0,0,0,0,0,0,9999,0,2,0,10,20,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,150,1300000,0,0,1,Voyage,20000000
9110391,HYUNDAI DISCOVERY,X12365,VISA CONT,FF-LINER,true,false,23,950,130,51146,0,0,0,0,0,0,0,9999,0,1,0,23,46,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2497,1300000,0,0,1,Unit,20000000
6708379,HUMACACO,M27617,CONT-NSS,VISA,true,false,22,700,90,22592,0,0,0,20.3,-64.5,0,0,9999,0,1,0,16,32,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2568,1300000,0,0,1,Unit,20000000
8419142,SEA-LAND ANCHORAGE,04896,CONT-NSS,VISA,true,false,20,710,78,20946,0,0,0,49.5,-128.1833,47,-122,5,0,1,0,15,30,2478,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2544,1300000,0,0,1,Unit,20000000
5555007,HANJIN MALTA,N55354,CONT-NSS,EUSC,true,false,24,949,105,50869,0,0,0,0,0,0,0,9999,0,1,0,21,42,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2214,1300000,0,0,1,Unit,20000000
7617890,SEA-LAND PACIFIC,47910,CONT-NSS,VISA,true,false,22,813,90,21880,0,0,0,30.3,130.8,20,-177,5,0,1,0,14,29,4977,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2349,1300000,0,0,1,Unit,20000000
9074547,APL SINGAPORE,N61951,VISA CONT,VISA,true,false,24,906,131,66630,0,70,0,51.05,-152.1833,0,0,9999,0,1,0,23,46,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2552,1300000,0,0,1,Unit,20000000
7390129,CAPE ISABEL,46063,RO/RO,RRF,false,true,20,685,102,12660,12,0,0,27,51,45,-122,1,5,2,0,16,32,4973,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
9105928,SEA LINDAVIA,F0035,CONT-SS,FF-LINER,true,false,21,778,75,28818,0,40,0,0,0,0,0,9999,0,1,0,19,39,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2366,1300000,0,0,1,Unit,20000000
8616934,PRESIDENT ADAMS,07050,CONT-NSS,VISA,true,false,24,902,130,40730,0,0,0,45.1,-152.9,53,9,5,0,1,0,20,41,7236,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2424,1300000,0,0,1,Unit,20000000
7390698,GREEN HARBOUR (A),41198,BARGE(LASH),MSC,true,false,22,893,100,36680,0,0,0,-6.7,72.1333,-7,72,9999,0,12,0,19,38,5893,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
9105926,MAERSK VANCOUVR,F0033,CONT-NSS,FF-LINER,true,false,21,778,75,28818,0,24,0,0,0,0,0,9999,0,1,0,19,39,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2305,1300000,0,0,1,Unit,20000000
9105927,MARE THRACIUM,F0034,VISA CONT,FF-LINER,true,false,20,945,106,25000,0,21,0,0,0,0,0,9999,0,1,0,19,39,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2609,1300000,0,0,1,Unit,20000000
7702035,PFC. JAMES ANDERSON JR. (M),53522,COMBO,FLOW,false,true,19,756,90,19089,13,0,0,-7.3167,72.4667,-7,72,1,0,3,0,16,33,3233,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
7909968,CAPE ORLANDO (AMER EAGLE),57330,RO/RO,RRF,true,false,17,635,92,17103,0,0,0,37.8,-122.4,16,-76,9999,4,2,0,15,30,2950,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,288561,33192,79994,0,900000,0,0,0,Voyage,20000000
8301333,XIANG KUN,M61295,CONT-SS,EUSC,true,false,15,450,69,12067,0,0,0,0,0,0,0,9999,0,1,0,13,26,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2546,1300000,0,0,1,Unit,20000000
8709169,HYUNDAI COMMANDER,X12364,VISA CONT,FF-LINER,true,false,17,800,101,22376,0,14,0,0,0,0,0,9999,0,1,0,18,35,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2251,1300000,0,0,1,Unit,20000000
8609981,OTARU REX,M03306,BREAKBULK,EUSC,true,false,17,409,58,5387,0,0,0,53,9,53,9,9999,0,3,0,12,24,0,0,,"",0,3,0,500,500,100,100,3000,3000,Organic,110000,20000,75000,0,1300000,0,0,0,Voyage,20000000
7908005,MOKIHANA,M60972,VISA CONT,VISA,true,false,22,859,106,30825,0,45,0,44.3,-173.9,0,0,9999,0,1,0,17,35,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2673,1300000,0,0,1,Unit,20000000
9002037,R.J. PFEIFFER,9103,CONT-NSS,VISA,true,false,22,712,106,18021,0,0,0,33.6167,-118.25,53,9,5,0,1,0,19,38,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2677,1300000,0,0,1,Unit,20000000
8319756,SEA LINK,62154,CONT-NSS,EUSC,true,false,16,450,69,9968,0,0,0,13,100,13,100,5,0,1,0,13,26,794,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2271,1300000,0,0,1,Unit,20000000
9118836,ALIGATOR STRENGTH,F0017,CONT-NSS,FF-LINER,true,false,23,820,106,26448,0,0,0,0,0,0,0,9999,0,1,0,19,39,0,0,,"",0,3,0,500,500,100,100,3000,3000,Scheduled Liner,110000,20000,75000,2651,1300000,0,0,1,Unit,20000000
8607749,GREEN LAKE (40%),05050,CAR TRANS,VISA,true,false,18,591,106,11636,0,45,0,22.9,-84.4,26,-160,9999,0,2,0,14,29,0,0,,"",0,3,0,500,500,100,100,3000,3000,Time Charter,110000,20000,75000,0,900000,0,0,0,Voyage,20000000
