Name,Base,Day,Delta
CREW-STRATEGIC-B-747P,AEDY,15,-8
CREW-STRATEGIC-B-747P,XDAT,0,-10
CREW-STRATEGIC-B-747P,XDAT,15,-25
CREW-STRATEGIC-B-747P,XDAT,30,-30
CREW-STRATEGIC-C-17,DKFX,0,-8
CREW-STRATEGIC-C-17,DKFX,15,-7
CREW-STRATEGIC-C-17,DKFX,25,-5
CREW-STRATEGIC-C-17,DKFX,55,12
CREW-STRATEGIC-C-17,PQWY,0,-4
CREW-STRATEGIC-C-17,PQWY,25,-5
CREW-STRATEGIC-C-17,PQWY,55,5
CREW-STRATEGIC-C-17,XDAT,0,-4
CREW-STRATEGIC-C-17,XDAT,15,-7
CREW-STRATEGIC-C-17,XDAT,55,7
CREW-STRATEGIC-C-5A,XDAT,0,-5
CREW-STRATEGIC-C-5A,XDAT,15,-12
CREW-STRATEGIC-C-5A,XDAT,25,-20
CREW-STRATEGIC-CH47,SEA1,0,-3
CREW-STRATEGIC-KC-10,XDAT,0,-8
CREW-STRATEGIC-KC-10,XDAT,15,-18
CREW-STRATEGIC-KC-10,XDAT,25,-12
