Type,Name,Theater,SupplyClassNumber,SubClass,FuelClass,Intensity1Rate,Intensity2Rate,Intensity3Rate,Intensity4Rate
AIR,A/OA10,1,3,A,JP8,1154.58,8.735,196.097,118.508
AIR,A/OA10,1,7,"","",0.01,0.013,0.007,0
AIR,A/OA10,1,9,"","",4.523,4.972,1.32,1.725
AIR,A/OA10,3,3,A,JP8,714.005,981.337,740.069,8.565
AIR,A/OA10,3,7,"","",0.004,0.002,0.007,0
AIR,A/OA10,3,9,"","",4.481,4.284,7.569,1.124
AIR,A0010A,1,3,A,JP8,610.323,281.768,799.635,64.709
AIR,A0010A,1,7,"","",0.016,0.02,0.004,0
AIR,A0010A,1,9,"","",0.313,7.789,5.64,2.098
AIR,A0010A,3,3,A,JP8,895.99,976.786,720.434,7.913
AIR,A0010A,3,7,"","",0.011,0.007,0.007,0
AIR,A0010A,3,9,"","",3.638,3.647,5.777,1.53
AIR,AC130H,1,3,A,JP8,830.571,1039.12,811.717,371.203
AIR,AC130H,1,7,"","",10.19,7.836,1.582,0.995
AIR,AC130H,1,9,"","",9.306,6.247,2.515,1.594
AIR,AC130H,3,3,A,JP8,3308.161,192.463,1518.815,389.616
AIR,AC130H,3,7,"","",13.109,9.016,0.924,0.82
AIR,AC130H,3,9,"","",10.436,5.715,4.556,0.047
AIR,AC130U,1,3,A,JP8,3923.443,2126.812,982.594,200.471
AIR,AC130U,1,7,"","",7.925,3.508,1.839,1.47
AIR,AC130U,1,9,"","",1.559,23.237,5.794,0.028
AIR,AC130U,3,3,A,JP8,1115.095,2032.399,1175.731,114.381
AIR,AC130U,3,7,"","",1.084,0.457,1.795,2.709
AIR,AC130U,3,9,"","",81.601,45.963,17.634,2.666
AIR,B00001,1,3,A,JP8,8400.085,847.316,7963.131,224.379
AIR,B00001,1,7,"","",14.538,9.299,1.356,4.159
AIR,B00001,1,9,"","",19.588,12.317,8.865,2.841
AIR,B00001,3,3,A,JP8,5786.792,8009.33,2693.559,6734.871
AIR,B00001,3,7,"","",19.86,13.88,0.089,3.657
AIR,B00001,3,9,"","",40.385,15.055,0.744,2.48
AIR,B00002,1,3,A,JP8,11996.254,14410.725,4762.535,570.833
AIR,B00002,1,7,"","",13.639,13.767,11.523,5.137
