NetworkName,Supplied,Supplier,Mode,Day,Description,PercentSupplied,ReplenishmentFlowLimit,Sourcing,IsPrimary,ConsolidationLocation,CCPGeoloc,DeconsolidationLocation,TCSPGeoloc
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",BIR EL ATER,MECHANICSBURG,SEA,0,initial network,75,90,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",GABES,BIR EL ATER,LAND,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",GABES (HNTM),BIR EL ATER,LAND,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",GABES (HNTS),BIR EL ATER,LAND,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",GAFSA,BIR EL ATER,LAND,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",JERBA-ZARZIS,BIR EL ATER,LAND,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",MADANIYIN,BIR EL ATER,LAND,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",SFAX,BIR EL ATER,LAND,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",TEBESSA,BIR EL ATER,LAND,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",THYNA-EL MAOU,BIR EL ATER,LAND,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",BIR EL ATER,MECHANICSBURG,AIR,0,initial network,10,5,FIXED,false,CCP,FJXT,none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",SIGONELLA,MECHANICSBURG,NO_PREF,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",ABN,SEABASE,AIR,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",SEABASE,MECHANICSBURG,SEA,0,initial network,100,100,FIXED,false,none,"",none,""
"[GEN-RESUPPLY (28), GEN-AMMO (29), GEN-POL (30)]",BIR EL ATER,PHILADELPHIA,AIR,0,initial network,15,5,FIXED,false,CCP,FJXT,none,""
