Service,SupplyClass,SubClass,FuelType,Priority1,Priority2,Priority3,Priority4,Priority5
MARINES,1,NOS,,UTC,DEF,,,
MARINES,2,NOS,,UTC,DEF,,,
MARINES,3,A,NOS,MCA,UTC,DEF,,
MARINES,3,NOS,NOS,UTC,DEF,,,
MARINES,4,NOS,,UTC,DEF,,,
MARINES,5,NOS,,UTC,DEF,,,
MARINES,6,NOS,,UTC,DEF,,,
MARINES,7,NOS,,UTC,DEF,,,
MARINES,8,NOS,,UTC,DEF,,,
MARINES,9,NOS,,UTC,DEF,,,
MARINES,10,NOS,,UTC,DEF,,,
NAVY,1,NOS,,UTC,DEF,,,
NAVY,2,NOS,,UTC,DEF,,,
NAVY,3,NOS,NOS,AIR,UTC,DEF,,
NAVY,4,NOS,,UTC,DEF,,,
NAVY,5,NOS,,AIR,UTC,DEF,,
NAVY,6,NOS,,UTC,DEF,,,
NAVY,7,NOS,,AIR,UTC,DEF,,
NAVY,8,NOS,,UTC,DEF,,,
NAVY,9,NOS,,AIR,UTC,DEF,,
NAVY,10,NOS,,UTC,DEF,,,
ARMY,1,NOS,,UTC,DEF,,,
ARMY,2,NOS,,UTC,DEF,,,
ARMY,3,NOS,NOS,AIR,UTC,DEF,,
ARMY,4,NOS,,UTC,DEF,,,
ARMY,5,NOS,,AIR,UTC,DEF,,
ARMY,6,NOS,,UTC,DEF,,,
ARMY,7,NOS,,AIR,UTC,DEF,,
ARMY,8,NOS,,UTC,DEF,,,
ARMY,9,NOS,,AIR,UTC,DEF,,
ARMY,10,NOS,,UTC,DEF,,,
AIR-FORCE,1,NOS,,UTC,DEF,,,
AIR-FORCE,2,NOS,,UTC,DEF,,,
AIR-FORCE,3,NOS,NOS,AIR,UTC,DEF,,
AIR-FORCE,4,NOS,,UTC,DEF,,,
AIR-FORCE,5,NOS,,AIR,UTC,DEF,,
AIR-FORCE,6,NOS,,UTC,DEF,,,
AIR-FORCE,7,NOS,,AIR,UTC,DEF,,
AIR-FORCE,8,NOS,,UTC,DEF,,,
AIR-FORCE,9,NOS,,AIR,UTC,DEF,,
AIR-FORCE,10,NOS,,UTC,DEF,,,
