CSCode,CONUS,THEATER1
8D,7,3
8G,7,3
AF,7,3
02,7,3
AL,7,3
DZ,7,3
AS,7,3
4D,7,3
6N,7,3
AD,7,3
AO,7,3
AI,7,3
AQ,7,3
AG,7,3
6R,7,3
4U,7,3
8R,7,3
5A,7,3
AR,7,3
AU,7,3
AT,7,3
1P,7,3
BS,7,3
BH,7,3
XB,7,3
4L,7,3
7B,7,3
4B,7,3
BD,7,3
BB,7,3
5B,7,3
6B,7,3
1B,7,3
1F,7,3
5U,7,3
BY,7,3
BE,7,3
BZ,7,3
4G,7,3
BJ,7,3
5D,7,3
5R,7,3
BM,7,3
BQ,7,3
BT,7,3
8B,7,3
BO,7,3
BA,7,3
BW,7,3
BV,7,3
IO,7,3
BR,7,3
1C,7,3
VG,7,3
BN,7,3
BG,7,3
BF,7,3
MM,7,3
BI,7,3
KH,7,3
CM,7,3
CA,7,3
CV,7,3
1X,7,3
8C,7,3
KY,7,3
3C,7,3
4Q,7,3
TD,7,3
CL,7,3
CN,7,3
CX,7,3
5C,7,3
CC,7,3
CO,7,3
KM,7,3
CG,7,3
CK,7,3
4C,7,3
CR,7,3
CF,7,3
CU,7,3
CW,7,3
CY,7,3
1V,7,3
DK,7,3
1D,7,3
DG,7,3
DJ,7,3
DM,7,3
DO,7,3
2D,7,3
5S,7,3
3E,7,3
EC,7,3
EG,7,3
SV,7,3
1E,7,3
GQ,7,3
ET,7,3
XE,7,3
FO,7,3
FJ,7,3
FI,7,3
4F,7,3
3F,7,3
PF,7,3
TF,7,3
FR,7,3
GF,7,3
GA,7,3
GM,7,3
XG,7,3
GE,7,3
GH,7,3
GI,7,3
QX,7,3
6G,7,3
GR,7,3
GL,7,3
GD,7,3
GP,7,3
GU,7,3
GT,7,3
GN,7,3
GW,7,3
4P,7,3
6D,7,3
5F,7,3
5Y,7,3
6Q,7,3
7T,7,3
3L,7,3
3X,7,3
7F,7,3
1G,7,3
1M,7,3
6M,7,3
3T,7,3
1T,7,3
6W,7,3
3G,7,3
2J,7,3
2M,7,3
GY,7,3
HT,7,3
3H,7,3
15,7,3
HN,7,3
HK,7,3
XH,7,3
1H,7,3
1U,7,3
HU,7,3
IS,7,3
IN,7,3
6A,7,3
ID,7,3
3N,7,3
1K,7,3
8N,7,3
IR,7,3
IQ,7,3
IE,7,3
1R,7,3
IL,7,3
IT,7,3
CI,7,3
JM,7,3
XJ,7,3
JP,7,3
4J,7,3
XU,7,3
JO,7,3
QU,7,3
5K,7,3
7K,7,3
KE,7,3
KI,7,3
3R,7,3
KP,7,3
KR,7,3
KW,7,3
1L,7,3
6L,7,3
LA,7,3
5P,7,3
LB,7,3
LS,7,3
LR,7,3
LY,7,3
LI,7,3
5L,7,3
LT,7,3
LU,7,3
MO,7,3
MG,7,3
4M,7,3
6C,7,3
MW,7,3
MY,7,3
MV,7,3
ML,7,3
MT,7,3
MH,7,3
MQ,7,3
MR,7,3
MU,7,3
8E,7,3
8W,7,3
MX,7,3
QM,7,3
3M,7,3
MC,7,3
MN,7,3
MS,7,3
MA,7,3
MZ,7,3
6Z,7,3
1A,7,3
MP,7,3
3A,7,3
NA,7,3
NR,7,3
XV,7,3
NP,7,3
NL,7,3
NC,7,3
NZ,7,3
NI,7,3
NE,7,3
NG,7,3
NU,7,3
NF,7,3
1N,7,3
5T,7,3
NO,7,3
5N,7,3
OM,7,3
PK,7,3
PA,7,3
PG,7,3
XP,7,3
PY,7,3
6P,7,3
PE,7,3
3P,7,3
PH,7,3
PN,7,3
PL,7,3
PT,7,3
PR,7,3
QA,7,3
6E,7,3
RE,7,3
2R,7,3
RO,7,3
4R,7,3
RW,7,3
SM,7,3
ST,7,3
SA,7,3
2S,7,3
8Z,7,3
3J,7,3
8M,7,3
3Q,7,3
SN,7,3
SC,7,3
SL,7,3
SG,7,3
1S,7,3
SB,7,3
4S,7,3
SO,7,3
2A,7,3
4A,7,3
ZA,7,3
3U,7,3
ES,7,3
XS,7,3
LK,7,3
BL,7,3
KN,7,3
SH,7,3
LC,7,3
PM,7,3
VC,7,3
8S,7,3
SD,7,3
6U,7,3
SR,7,3
XR,7,3
SZ,7,3
SE,7,3
CH,7,3
SY,7,3
TW,7,3
TZ,7,3
4T,7,3
TH,7,3
6T,7,3
TG,7,3
TO,7,3
TT,7,3
TN,7,3
TR,7,3
TC,7,3
TV,7,3
8T,7,3
UG,7,3
AE,7,3
GB,7,3
UN,7,3
UY,7,3
VU,7,3
VA,7,3
VE,7,3
VN,7,3
VI,7,3
QW,7,3
WF,7,3
2W,7,3
EH,7,3
WS,7,3
5W,7,3
3Y,7,3
CD,7,3
ZM,7,3
ZW,7,3
